Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2.2p.3p""","=""3P""","=""1""","="" 11.408528""","=""0.000012""","=""L9172"""
"=""1s2.2p.3p""","=""3P""","=""2""","="" 11.408789""","=""0.000015""","=""L9172"""
"=""1s2.2p.3d""","=""1D*""","=""2""","="" 11.579391""","=""0.000009""","=""L9172"""
"=""1s2.2p.3d""","=""3D*""","=""1""","="" 11.677889""","=""0.000011""","=""L9172"""
"=""1s2.2p.3d""","=""3D*""","=""2""","="" 11.677977""","=""0.000011""","=""L9172"""
"=""1s2.2p.3d""","=""3D*""","=""3""","="" 11.678116""","=""0.000012""","=""L9172"""
"=""1s2.2p.3d""","=""1P*""","=""1""","="" 11.8583a""","=""0.0006""","=""L9172"""
"=""1s2.2p.4s""","=""1P*""","=""1""","="" 12.10a""","=""0.06""","=""L9172"""
"=""1s2.2p.4p""","=""1P""","=""1""","="" 12.174265""","=""0.000011""","=""L9172"""
"=""1s2.2p.4p""","=""3P""","=""0""","="" 12.29472""","=""0.00003""","=""L9172"""
"=""1s2.2p.4p""","=""3P""","=""1""","="" 12.29486""","=""0.00003""","=""L9172"""
"=""1s2.2p.4p""","=""3P""","=""2""","="" 12.29511""","=""0.00003""","=""L9172"""
"=""1s2.2p.4d""","=""1D*""","=""2""","="" 12.35732""","=""0.00011""","=""L9172"""
"=""1s2.2p.4d""","=""3D*""","=""1""","="" 12.39635""","=""0.00003""","=""L9172"""
"=""1s2.2p.4d""","=""3D*""","=""2""","="" 12.396432""","=""0.000025""","=""L9172"""
"=""1s2.2p.4d""","=""3D*""","=""3""","="" 12.39660""","=""0.00003""","=""L9172"""
"=""1s2.2p.4f""","=""1F""","=""3""","="" 12.40989?""","=""0.00003""","=""L9172"""
"=""1s2.2p.4f""","=""3F""","=""3""","="" 12.42700?""","=""0.00003""","=""L9172"""
"=""1s2.2p.4f""","=""3F""","=""4""","="" 12.42716?""","=""0.00004""","=""L9172"""
"=""1s2.2p.4d""","=""1P*""","=""1""","=""[12.4688a]""","=""0.0006""","=""L9172"""
"=""1s2.2p.5s""","=""1P*""","=""1""","="" 12.572a""","=""0.012""","=""L9172"""
"=""1s2.2p.5p""","=""1P""","=""1""","="" 12.615308""","=""0.000025""","=""L9172"""
"=""1s2.2p.5p""","=""3P""","=""0""","="" 12.67066""","=""0.00004""","=""L9172"""
"=""1s2.2p.5p""","=""3P""","=""1""","="" 12.67089""","=""0.00003""","=""L9172"""
"=""1s2.2p.5p""","=""3P""","=""2""","="" 12.67111""","=""0.00003""","=""L9172"""
"=""1s2.2p.5d""","=""1D*""","=""2""","="" 12.70119""","=""0.00005""","=""L9172"""
"=""1s2.2p.5d""","=""3D*""","=""""","="" 12.72031""","=""0.00015""","=""L9172"""
"=""1s2.2p.5f""","=""1F""","=""3""","="" 12.72588?""","=""0.00003""","=""L9172"""
"=""1s2.2p.5d""","=""1P*""","=""1""","="" 12.7569a""","=""0.0006""","=""L9172"""
"=""1s2.2p.6s""","=""1P*""","=""1""","="" 12.811a""","=""0.014""","=""L9172"""
"=""1s2.2p.6p""","=""1P""","=""1""","="" 12.83598""","=""0.00003""","=""L9172"""
"=""1s2.2p.6d""","=""1P*""","=""1""","="" 12.9168a""","=""0.0006""","=""L9172"""
"=""1s2.2p.7s""","=""1P*""","=""1""","="" 12.945a""","=""0.014""","=""L9172"""
"=""1s2.2p.7d""","=""1P*""","=""1""","="" 13.0133a""","=""0.0006""","=""L9172"""
"=""1s2.2p.8s""","=""1P*""","=""1""","="" 13.029a""","=""0.014""","=""L9172"""
"=""1s2.2p.8d""","=""1P*""","=""1""","="" 13.0764""","=""0.0006""","=""L9172"""
"=""1s2.2p.9s""","=""1P*""","=""1""","="" 13.083a""","=""0.014""","=""L9172"""
"=""1s2.2p.9d""","=""1P*""","=""1""","="" 13.1186""","=""0.0006""","=""L9172"""
"=""1s2.2p.10s""","=""1P*""","=""1""","="" 13.121a""","=""0.014""","=""L9172"""
"=""1s2.2p.10d""","=""1P*""","=""1""","="" 13.1494""","=""0.0006""","=""L9172"""
"=""1s2.2p.11s""","=""1P*""","=""1""","="" 13.152""","=""0.014""","=""L9172"""
"=""1s2.2p.12s""","=""1P*""","=""1""","="" 13.170""","=""0.014""","=""L9172"""
