Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s.10h""","=""3H*""","=""4""","=""[24.45134992169262]""","=""0.00000000000012""","=""L8948"""
"=""1s.10h""","=""1H*""","=""5""","=""[24.45134994063270]""","=""0.00000000000012""","=""L8948"""
"=""1s.10i""","=""3I""","=""6""","=""[24.45135052860618]""","=""0.00000000000012""","=""L8948"""
"=""1s.10i""","=""3I""","=""7""","=""[24.45135054821986]""","=""0.00000000000012""","=""L8948"""
"=""1s.10i""","=""3I""","=""5""","=""[24.45135056609144]""","=""0.00000000000012""","=""L8948"""
"=""1s.10i""","=""1I""","=""6""","=""[24.45135058029048]""","=""0.00000000000012""","=""L8948"""
"=""1s.10k""","=""3K*""","=""7""","=""[24.45135078680538]""","=""0.00000000000012""","=""L8948"""
"=""1s.10k""","=""3K*""","=""8""","=""[24.45135080130905]""","=""0.00000000000012""","=""L8948"""
"=""1s.10k""","=""3K*""","=""6""","=""[24.45135081459346]""","=""0.00000000000012""","=""L8948"""
"=""1s.10k""","=""1K*""","=""7""","=""[24.45135082559359]""","=""0.00000000000012""","=""L8948"""
"=""1s.10p""","=""1P*""","=""1""","=""[24.45167878250]""","=""0.00000000009""","=""L8948"""
"=""1s.11p""","=""1P*""","=""1""","=""[24.475209]""","=""0.000003""","=""L366"""
"=""1s.12p""","=""1P*""","=""1""","=""[24.493108]""","=""0.000003""","=""L366"""
"=""1s.13p""","=""1P*""","=""1""","=""[24.507043]""","=""0.000003""","=""L366"""
"=""1s.14p""","=""1P*""","=""1""","=""[24.518101]""","=""0.000003""","=""L366"""
"=""1s.15p""","=""1P*""","=""1""","=""[24.527024]""","=""0.000003""","=""L366"""
"=""He II (1s 2S<1/2>)""","=""Limit""","=""---""","="" 24.587389011""","=""0.000000025""","=""L17714"""
"=""2s.2p""","=""3P*""","=""0,1,2""","="" 58.311""","=""0.006""","=""L1368"""
"=""2p2""","=""3P""","=""0,1,2""","="" 59.67378""","=""0.00015""","=""L1341"""
"=""2p.3p""","=""3D""","=""1,2,3""","="" 63.120""","=""0.006""","=""L1368"""
"=""2p.3d""","=""3D*""","=""1,2,3""","="" 63.78658""","=""0.00015""","=""L1368"""
"=""2p.3d""","=""3P*""","=""0,1,2""","="" 64.0719""","=""0.0006""","=""L1368"""
