Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p3.(2D*).4f""","=""2[9/2]""","=""4""","="" 35.785603""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[7/2]""","=""4""","="" 35.785228""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[7/2]""","=""3""","="" 35.785450""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[3/2]""","=""2""","="" 35.785383""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[3/2]""","=""1""","="" 35.785692""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[5/2]""","=""2""","="" 35.786064""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[5/2]""","=""3""","="" 35.786132""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[11/2]""","=""5""","="" 35.786648""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[11/2]""","=""6""","="" 35.786664""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[1/2]""","=""1""","="" 35.786904""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[1/2]""","=""0""","="" 35.787045""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[7/2]""","=""3""","="" 35.788534""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[7/2]""","=""4""","="" 35.788748""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[5/2]""","=""2""","="" 35.789723""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[5/2]""","=""3""","="" 35.789868""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[9/2]""","=""5""","="" 35.790949""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[9/2]""","=""4""","="" 35.790961""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[3/2]""","=""1""","="" 35.792080""","=""""","="""""
"=""2s2.2p3.(2D*).4f""","=""2[3/2]""","=""2""","="" 35.792285""","=""""","="""""
"=""2s2.2p3.(2P*).4s""","=""1P*""","=""1""","="" 35.859172""","=""""","="""""
"=""2s2.2p3.(2D*).5s""","=""3D*""","=""3""","="" 35.919007""","=""""","="""""
"=""2s2.2p3.(2D*).5s""","=""3D*""","=""2""","="" 35.91949""","=""""","="""""
"=""2s2.2p3.(2D*).5s""","=""1D*""","=""2""","="" 35.973080""","=""""","="""""
"=""2s2.2p3.(2P*).4p""","=""3D""","=""3""","="" 36.608920""","=""""","="""""
"=""2s2.2p3.(2P*).4p""","=""3D""","=""2""","="" 36.609568""","=""""","="""""
"=""2s2.2p3.(2P*).4p""","=""3D""","=""1""","="" 36.609816""","=""""","="""""
"=""2s2.2p3.(2P*).4p""","=""1P""","=""1""","="" 36.648317""","=""""","="""""
"=""2s2.2p3.(2P*).4p""","=""1D""","=""2""","="" 36.795689""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[9/2]""","=""5""","="" 37.01391""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[9/2]""","=""4""","="" 37.01398""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[3/2]""","=""2""","="" 37.01404""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[3/2]""","=""1""","="" 37.01429""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[7/2]""","=""3""","="" 37.01409""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[7/2]""","=""4""","="" 37.01465""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[11/2]""","=""5""","="" 37.01499""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[11/2]""","=""6""","="" 37.01501""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[5/2]""","=""3""","="" 37.01504""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[5/2]""","=""2""","="" 37.01506""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[1/2]""","=""1""","="" 37.01532""","=""""","="""""
"=""2s2.2p3.(2D*).5f""","=""2[1/2]""","=""0""","="" 37.01537""","=""""","="""""
