Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p3.(2D*).9d""","=""3D*""","=""2""","="" 12.0280a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).9d""","=""3D*""","=""1""","="" 12.0280a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).9d""","=""3D*""","=""3""","="" 12.0280a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).9f""","=""""","=""""","="" 12.03300""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).9f""","=""""","=""""","="" 12.03702""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).11s""","=""3D*""","=""3""","="" 12.0375""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).11s""","=""3D*""","=""2""","="" 12.0375""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).11s""","=""3D*""","=""1""","="" 12.0375""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).11p""","=""""","=""""","="" 12.05523""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).10d""","=""3D*""","=""3""","="" 12.0607a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).10d""","=""3D*""","=""2""","="" 12.0607a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).10d""","=""3D*""","=""1""","="" 12.0607a""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).10f""","=""""","=""""","="" 12.06488""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).12s""","=""3D*""","=""1""","="" 12.0670""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).12s""","=""3D*""","=""3""","="" 12.0670""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).12s""","=""3D*""","=""2""","="" 12.0670""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<5/2>).10f""","=""""","=""""","="" 12.06896""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).12p""","=""""","=""""","="" 12.08289""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*<3/2>).11f""","=""""","=""""","="" 12.08908""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).13s""","=""3D*""","=""1""","="" 12.0913""","=""""","=""                                            ""","="""""
"=""3s2.3p3.(2D*).13s""","=""3D*""","=""3""","="" 12.0913""","=""""","=""                                            ""","="""""
