Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""3s2.3p2.(1D).6s""","=""2D""","=""5/2""","="" 21.954661""","=""""","=""  99         :     1  3s2.3p2.(1D).5d 2D   ""","="""""
"=""3s2.3p2.(1D).6s""","=""2D""","=""3/2""","="" 21.954752""","=""""","=""  99         :     1  3s2.3p2.(1D).5d 2D   ""","="""""
"=""3s2.3p2.(1D).5d""","=""2G""","=""7/2""","="" 22.090685""","=""""","=""  89         :     9  3s2.3p2.(1D).5d 2F   ""","="""""
"=""3s2.3p2.(1D).5d""","=""2G""","=""9/2""","="" 22.099023""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).7d""","=""4D""","=""7/2""","="" ""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).7d""","=""4D""","=""1/2""","="" ""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).7d""","=""4D""","=""3/2""","="" ""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).7d""","=""4D""","=""5/2""","="" 22.111883""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).7d""","=""4P""","=""5/2""","="" 22.174445""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).7d""","=""4P""","=""3/2""","="" 22.182658""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P).7d""","=""4P""","=""1/2""","="" 22.189368""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).7f""","=""2[5]*""","=""9/2""","="" ""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(3P<2>).7f""","=""2[5]*""","=""11/2""","="" 22.304740""","=""""","=""                                           ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[4]*""","=""9/2""","="" 22.483358""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2G*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[4]*""","=""7/2""","="" 22.483358""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2G*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[3]*""","=""7/2""","="" 22.497915""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2F*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[3]*""","=""5/2""","="" 22.497915""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2F*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[5]*""","=""9/2""","="" 22.531901""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2H*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[5]*""","=""11/2""","="" 22.531901""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2H*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[2]*""","=""3/2""","="" 22.536657""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2D*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[2]*""","=""5/2""","="" 22.536657""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2D*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[1]*""","=""1/2""","="" 22.580060""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2P*  ""","="""""
"=""3s2.3p2.(1D<2>).5f""","=""2[1]*""","=""3/2""","="" 22.580060""","=""""","=""  99     or  :   100  3s2.3p2.(1D).5f 2P*  ""","="""""
"=""3s2.3p2.(1D).7s""","=""2D""","=""5/2""","="" 22.892785""","=""""","=""  99         :     1  3s2.3p2.(1D).6d 2D   ""","="""""
"=""3s2.3p2.(1D).7s""","=""2D""","=""3/2""","="" 22.892785""","=""""","=""  99         :     1  3s2.3p2.(1D).6d 2D   ""","="""""
"=""3s2.3p2.(1S<0>).4f""","=""2[3]*""","=""7/2""","="" 23.210540?""","=""""","="" 100     or  :   100  3s2.3p2.(1S).4f 2F*  ""","="""""
"=""3s2.3p2.(1S<0>).4f""","=""2[3]*""","=""5/2""","="" 23.210540?""","=""""","="" 100     or  :   100  3s2.3p2.(1S).4f 2F*  ""","="""""
"=""S III (3p2 3P<0>)""","=""Limit""","=""---""","="" 23.33788""","=""0.00025""","=""                                           ""","=""L7237,L5883"""
"=""S III (3p2 3P<1>)""","=""Limit""","=""---""","="" 23.37494""","=""""","=""                                           ""","="""""
"=""S III (3p2 3P<2>)""","=""Limit""","=""---""","="" 23.44120""","=""""","=""                                           ""","="""""
"=""S III (3p2 1D<2>)""","=""Limit""","=""---""","="" 24.7417""","=""""","=""                                           ""","="""""
"=""S III (3p2 1S<0>)""","=""Limit""","=""---""","="" 26.7055""","=""""","=""                                           ""","="""""
