Configuration,Term,J,Level (eV),Uncertainty (eV),Leading percentages,Reference
"=""1s.2p.4p""","=""4S""","=""3/2""","="" 136.3801+x?""","=""0.0015""","=""  58         :    23  1s.2s.10s           4S   ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""3/2""","="" 136.3972+x?""","=""0.0025""","=""  98                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""1/2""","="" 136.3972+x?""","=""0.0025""","=""  98                                           ""","=""L12158"""
"=""1s.2p.4p""","=""4P""","=""5/2""","="" 136.3972+x?""","=""0.0025""","=""  98                                           ""","=""L12158"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""5/2""","="" 136.546""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2p.(3P*).4d""","=""2D*""","=""3/2""","="" 136.546""","=""0.012""","=""  99                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""3/2""","="" 136.6436+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""7/2""","="" 136.6436+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""1/2""","="" 136.6436+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.4d""","=""4D*""","=""5/2""","="" 136.6436+x""","=""0.0025""","="" 100                                           ""","=""L12158"""
"=""1s.2p.(3P*).4f""","=""2F""","=""5/2""","=""[136.673]""","=""0.012""","=""  99         :     1  1s.2p.(3P*).4f      4F   ""","=""L12158"""
"=""1s.2p.(3P*).4f""","=""2F""","=""7/2""","=""[136.673]""","=""0.012""","=""  99         :     1  1s.2p.(3P*).4f      4F   ""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""5/2""","=""[136.67473]+x""","=""""","=""  99         :     1  1s.2p.(3P*).4f      2F   ""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""7/2""","=""[136.67473]+x""","=""""","=""  99         :     1  1s.2p.(3P*).4f      2F   ""","=""L12158"""
"=""1s.2p.4f""","=""4F""","=""3/2""","=""[136.67473]+x""","=""""","="" 100                                           ""","=""L12158"""
